message,label
"Salut, tu es disponible pour la réunion demain ?",ham
"Félicitations ! Vous avez gagné un bon d'achat gratuit",spam
"Peux-tu m'envoyer le rapport aujourd’hui ?",ham
"URGENT ! Votre compte bancaire est bloqué, cliquez ici",spam
"N'oublie pas le rendez-vous chez le médecin",ham
"Gagnez de l'argent facilement depuis chez vous !",spam
"On se voit à la bibliothèque à 14h ?",ham
"Offre limitée !!! Cliquez pour recevoir votre cadeau",spam
"Merci pour ton aide hier",ham
"Vous avez été sélectionné pour un iPhone gratuit",spam
"Peux-tu me rappeler dès que possible ?",ham
"Profitez de cette promotion exceptionnelle maintenant",spam
"Le cours est annulé aujourd’hui",ham
"Recevez 500€ en répondant à ce message",spam
"Je t’envoie les documents par email",ham
"Promotion exclusive, cliquez ici pour en profiter",spam
"On mange ensemble ce midi ?",ham
"Votre numéro a été tiré au sort, gagnez un prix",spam
"Rappel : réunion à 10h salle B",ham
"Offre spéciale crédit sans frais, réponse immédiate",spam
"Merci pour le fichier, je l’ai bien reçu",ham
"Vous avez gagné un voyage gratuit ! Réclamez-le",spam
"Je suis en retard de 10 minutes",ham
"Cliquez ici pour activer votre carte bancaire",spam
"Peux-tu imprimer le document ?",ham
"Offre exceptionnelle réservée aux clients VIP",spam
"On révise ensemble pour l’examen ?",ham
"Recevez un bonus en vous inscrivant maintenant",spam
"Je t’appelle ce soir",ham
"Votre colis est en attente, cliquez pour le suivre",spam